input1,output1
vsudl,ldusv
vbox,vbox
,
waknsttrtr c yabcct,rtrttsnkaw c tccbay
llama,amall
auukopi rtclqyo,ipokuua oyqlctr
gbzpo,opzbg
jac,jac
wszgccer avqp,reccgzsw avqp
i yadkygdq bfowavzt,i qdgykday tzvawofb
disrespectful,luftcepsersid
kpgpy rmaxwbdqv,ypgpk vqdbwxamr
abcde fghij klmno,edcba jihgf onmlk
hvjed,dejvh
uj,uj
v sjk qfvyslc hn q,v sjk clsyvfq hn q
zuce,zuce
ur,ur
j,j
xchaqpkky icqb ub,ykkpqahcx icqb ub
a b c d e f g h i j,a b c d e f g h i j
qvl,qvl
helpful,lufpleh
ahxwu ggxog,uwxha goxgg
ayhwenxj,jxnewhya
gcaclse opqtkeuvg,eslcacg gvuektqpo
heart,traeh
kg,kg
qmqxyc sl t,cyxqmq sl t
vabugifo ulv bzgc,ofigubav ulv bzgc
gvrynvm m h wlqbd,mvnyrvg m h dbqlw
q ennl q f,q ennl q f
a,a
l njykzc dztx czz,l czkyjn dztx czz
rf qapajwk zonnizk,rf kwjapaq kzinnoz
em,em
ill iwqklu,ill ulkqwi
zletvj vwwxdnoixtry,jvtelz yrtxiondxwwv
l gusq z ae,l gusq z ae
qfels puagyqd yxqpzx,slefq dqygaup xzpqxy
d poz,d poz
cpurrj emdktgtb fbv,jrrupc btgtkdme fbv
fu q,fu q
abcdefgh ijklmnop,hgfedcba ponmlkji
m,m
xaxn,xaxn
umlnn,nnlmu
pyxh bafe qecowxi jp,pyxh bafe ixwoceq jp
fhjm xupehdq,fhjm qdhepux
rh k tujjt wifxc,rh k tjjut cxfiw
word less than five,word less than five
rhv zv,rhv zv
fayqzc qsc dxtis,czqyaf qsc sitxd
u yex p fx,u yex p fx
vkshpzu ekutn,uzphskv ntuke
geoi,geoi
this is a test,this is a test
vtomneshennyajzc fyo,czjaynnehsenmotv fyo
ndn wr gygg,ndn wr gygg
oneloongworrrrrrrrrd,drrrrrrrrrowgnooleno
mzfk,mzfk
aum gsjzq cykngjnx,aum qzjsg xnjgnkyc
rmnxspox lclep,xopsxnmr pelcl
abcdefghi jklmnopqrs,ihgfedcba srqponmlkj
n gnqs rxfvhkzl k k,n gnqs lzkhvfxr k k
krghqmy,ymqhgrk
hi,hi
mrbo cyp nleyggm lz,mrbo cyp mggyeln lz
tr f xhpi ade eito,tr f xhpi ade eito
qgczrjbnnlxxzue,euzxxlnnbjrzcgq
yirmb,bmriy
n foi,n foi
y fm,y fm
j ceuphjs n sq,j sjhpuec n sq
m f x,m f x
maybe this isgood,ebyam this doogsi
bxzvwts,stwvzxb
aj hn eg,aj hn eg
ii,ii
sswtuxt bhmfy mxp v,txutwss yfmhb mxp v
xw,xw
avktiotj xwnipkw,jtoitkva wkpinwx
pantry,yrtnap
wwh zh,wwh zh
q,q
eegrla vycq,alrgee vycq
r kvk,r kvk
walk,walk
httquo v,ouqtth v
couple longer words,elpuoc regnol sdrow
ge,ge
on pineapple island,on elppaenip dnalsi
qfecg z omurggi,gcefq z iggrumo
qtegbnna y r gtl t,annbgetq y r gtl t
ximoun o cvdu,nuomix o cvdu
cwi xrysrk,cwi krsyrx
ella is a short pali,ella is a trohs pali
wjioladu xh n,udaloijw xh n
flso,flso
tsp dlmal zdgg,tsp lamld zdgg
jazz,jazz
gpkl l uxyyx,gpkl l xyyxu
tvebhg,ghbevt
ngnxx pz ucmtgqi q,xxngn pz iqgtmcu q
tz ysjva,tz avjsy
qkebhuecaeqcfz so,zfcqeaceuhbekq so
science hi,ecneics hi
yqeyqc is dnbhzbf,cqyeqy is fbzhbnd
gsmcda ja cu,adcmsg ja cu
tkhdm zhqjcmf chav,mdhkt fmcjqhz chav
wwhsvc,cvshww
n aj,n aj
cep eaksb rkkpiyz,cep bskae zyipkkr
hvqggn ss,nggqvh ss
stop spinning these,stop gninnips eseht
pqmsz ib gi yvhdnv,zsmqp ib gi vndhvy
rinasm seh m dt,msanir seh m dt
bsf kffsd niz iok,bsf dsffk niz iok
ltyrpq oankphz,qprytl zhpknao
nakjupxw g,wxpujkan g
s,s
abcdefg hijklmn,gfedcba nmlkjih
rjn defufz,rjn zfufed
this is another test,this is rehtona test
ocwo yqlfuxhv,ocwo vhxuflqy
cat,cat
abcdef ghijkl mnopqr,fedcba lkjihg rqponm
eihkyiqwacuiphh,hhpiucawqiykhie
a,a
seh hdgoysj,seh jsyogdh
ospbiunoemiit,tiimeonuibpso
jcngmmac y,cammgncj y
hkzdcug pixb,gucdzkh pixb
racecar palindrome,racecar emordnilap
clct nilp wwazrlein,clct nilp nielrzaww
ab cd ef gh ij kl mn,ab cd ef gh ij kl mn
orlved,devlro
xotcljt e tpii,tjlctox e tpii
dzuh kt,dzuh kt
xozjhu tzct vfcjkm,uhjzox tzct mkjcfv
j,j
abc def gef hij klm,abc def gef hij klm
le,le
tdbpwzii dyufdbwl wh,iizwpbdt lwbdfuyd wh
ysqfkit i z,tikfqsy i z
gjbi,gjbi
vjg,vjg
etve,etve
wtxfa avmn,afxtw avmn
ae ho ynyayfjz,ae ho zjfyayny
