basement,"[0, 0]"
bouncing-balls,"[0, 0]"
bowling,"[23, 23]"
camel-case,"[0, 64]"
coin-sums,"[0, 0]"
cut-vector,"[0, 0]"
dice-game,"[0, 0]"
find-pair,"[0, 0]"
fizz-buzz,"[100, 100]"
fuel-cost,"[0, 0]"
gcd,"[100, 100]"
indices-of-substring,"[0, 0]"
leaders,"[0, 0]"
luhn,"[0, 0]"
mastermind,"[0, 0]"
middle-character,"[100, 100]"
paired-digits,"[37, 37]"
shopping-list,"[0, 0]"
snow-day,"[0, 0]"
solve-boolean,"[19, 18]"
spin-words,"[0, 99]"
square-digits,"[100, 100]"
substitution-cipher,"[0, 0]"
twitter,"[0, 0]"
vector-distance,"[0, 0]"
