input1,output1
kqft,kqft
um-c,umC
sd,sd
tld,tld
zakwm rxna,zakwm rxna
ivwe,ivwe
ebi-z jn uvw-sswl,ebiZ jn uvwSswl
pn,pn
f h-bjscv,f hBjscv
yh-d-z-zp-itw bjec,yhDZZpItw bjec
v yz,v yz
riogw-uc z-uqsiy vk,riogwUc zUqsiy vk
y-chu x-ko-ygpql-ubo,yChu xKoYgpqlUbo
all separate words,all separate words
bmq-bewzg,bmqBewzg
laeo-qthx nxw,laeoQthx nxw
kw-jrz,kwJrz
,
iz-gds taudf-gtc-v,izGds taudfGtcV
w,w
wbd-vmwr-jh,wbdVmwrJh
t,t
fe,fe
d,d
frafr-q,frafrQ
eqn,eqn
ue,ue
lgopk hhhny-iu,lgopk hhhnyIu
jc-r,jcR
k-tuept-lbdqm aj,kTueptLbdqm aj
wr-yb,wrYb
n s-tliqy-whtb,n sTliqyWhtb
gik,gik
jixb-dhp y-w-b,jixbDhp yWB
vkji-i-y,vkjiIY
kvpim,kvpim
lmt ge-v-wabqs-v-t,lmt geVWabqsVT
q-yfy clhd,qYfy clhd
ivz,ivz
f-wr-al ys o-tc,fWrAl ys oTc
lyw-tjgar,lywTjgar
dbjip sioj hckwj-e,dbjip sioj hckwjE
m lhr-bu hqw,m lhrBu hqw
izytn-kp-cl,izytnKpCl
oeb,oeb
ss nyv-dl k-mjsw,ss nyvDl kMjsw
b ds-fgm-dyc-kdn,b dsFgmDycKdn
plk-hkt-dd,plkHktDd
hjjv-mtb-exzn-xr,hjjvMtbExznXr
kpt-jc-cmp,kptJcCmp
w m-avs sbho,w mAvs sbho
loooooong wooooords,loooooong wooooords
ln-wqda fqff-n-snb,lnWqda fqffNSnb
ehtg-sdauf atdlk-c,ehtgSdauf atdlkC
lzzs-rcw,lzzsRcw
jed ep,jed ep
v w,v w
b erpa,b erpa
saaaaaaaaaaaaaaaaame,saaaaaaaaaaaaaaaaame
ih zub-peb,ih zubPeb
yy-sdqi pvqxb,yySdqi pvqxb
vlilo,vlilo
ph m-qdnci-kwmad,ph mQdnciKwmad
fujt xrtmn-svab,fujt xrtmnSvab
rac-mw ukunh ovn-xqy,racMw ukunh ovnXqy
two words,two words
izsvb fcz,izsvb fcz
rtk zn-i-gym,rtk znIGym
m-dcimp-tir-ik,mDcimpTirIk
z-vh gi-mjggo-cb be,zVh giMjggoCb be
eim ljxod,eim ljxod
usfa zzxj,usfa zzxj
bbxmm-w-wya-gplb-k y,bbxmmWWyaGplbK y
us,us
ao kkqjr n-k-bena,ao kkqjr nKBena
ns-ep h-imkw tsa tg,nsEp hImkw tsa tg
cyts m,cyts m
nmrr,nmrr
i-xww y ci,iXww y ci
r-w-i su-rl v,rWI suRl v
w-mvckd qg,wMvckd qg
ui norp-txb,ui norpTxb
ic-det zohv up i-o,icDet zohv up iO
ydpdi eptbz rag-s,ydpdi eptbz ragS
uwz,uwz
mgfhr-kp-bnib-iao,mgfhrKpBnibIao
gm-za,gmZa
a-w p-cfqy-agggr-mn,aW pCfqyAgggrMn
mldo,mldo
yt nd,yt nd
xqie-kw-xxa,xqieKwXxa
jaih-dwod,jaihDwod
om-yxye,omYxye
jqkcj-fsyri ciocr-z,jqkcjFsyri ciocrZ
mqrzf-pm-pboln zgty,mqrzfPmPboln zgty
vkcxj-rm-ft-d,vkcxjRmFtD
zq,zq
dfkm-w-wdh ug,dfkmWWdh ug
aimz-yg,aimzYg
he-h-m-d l,heHMD l
t-dxw,tDxw
iy-fhmu,iyFhmu
pnb,pnb
vm d,vm d
ee-qjjo-xnqrp,eeQjjoXnqrp
l,l
two-words,twoWords
jx-c,jxC
jwiz zs ihwn-i-i-jz,jwiz zs ihwnIIJz
gt n-z-fyzy-pi,gt nZFyzyPi
coz-j,cozJ
gpqc,gpqc
e-nfkl-h,eNfklH
xne-rckbp-b,xneRckbpB
hzlt-a-gjq-ysm-m,hzltAGjqYsmM
g qsgr,g qsgr
b mw-ib,b mwIb
dtdn,dtdn
doot,doot
bfyqd ghqiv-brlk-u,bfyqd ghqivBrlkU
x dchm fjm-d-b qq,x dchm fjmDB qq
rhk-sr c-jxii,rhkSr cJxii
zwbz-xou,zwbzXou
i,i
nujo-ji-ezp,nujoJiEzp
nyid-upgq,nyidUpgq
nrv rwem-pk,nrv rwemPk
no-ux nfq jop-zrj,noUx nfq jopZrj
auay-g,auayG
uowm z-u-ubi nct,uowm zUUbi nct
xhz-vpp-bbs-t,xhzVppBbsT
ae-irvxn-dz,aeIrvxnDz
z dea,z dea
h,h
l nos-n-p rdy,l nosNP rdy
fno-du-psxi,fnoDuPsxi
nospaceordash,nospaceordash
rk,rk
ex-on,exOn
iy-jbwju hiwh,iyJbwju hiwh
vi cn-oxm yl,vi cnOxm yl
loooooong-wooooords,loooooongWooooords
pkkzy-i-weo-tdtzb-f,pkkzyIWeoTdtzbF
lxz dmhfm dmd,lxz dmhfm dmd
hypp ffl,hypp ffl
r-h-wihht-gg,rHWihhtGg
wi-kwa,wiKwa
s dvf-rcb-dso,s dvfRcbDso
e-broys-et,eBroysEt
hil-g,hilG
yd-yjj,ydYjj
q xe,q xe
vkctc-ipc-j lv,vkctcIpcJ lv
zfzds d,zfzds d
hg nax-lxh,hg naxLxh
or-bcc-p-l q,orBccPL q
zt-iykq-o,ztIykqO
x-j-lz-vo lz-a,xJLzVo lzA
d,d
k mx,k mx
a b c d e f g h i j,a b c d e f g h i j
os-a dqsrk,osA dqsrk
ggm-z-vf-hm-rhww-vf,ggmZVfHmRhwwVf
bhjy zc,bhjy zc
ssvc,ssvc
a-b-c-d-e-f-g-h-i-j,aBCDEFGHIJ
