basement,"[0, 0]"
bouncing-balls,"[0, 0]"
bowling,"[9, 9]"
camel-case,"[0, 20]"
coin-sums,"[0, 0]"
cut-vector,"[0, 0]"
dice-game,"[0, 0]"
find-pair,"[0, 0]"
fizz-buzz,"[19, 19]"
fuel-cost,"[0, 0]"
gcd,"[20, 20]"
indices-of-substring,"[0, 0]"
leaders,"[0, 0]"
luhn,"[0, 0]"
mastermind,"[0, 0]"
middle-character,"[2, 2]"
paired-digits,"[0, 0]"
shopping-list,"[0, 0]"
snow-day,"[0, 0]"
solve-boolean,"[2, 2]"
spin-words,"[0, 20]"
square-digits,"[19, 19]"
substitution-cipher,"[0, 0]"
twitter,"[0, 20]"
vector-distance,"[0, 0]"
